File,Outputs,Mean [ms],StdDev [ms],RelStdDev [%],Best [ms],Median [ms],Worst [ms], ResultsConsistent, Results,
Go/gobra/gobra_test_suite/regressions/examples/tour/Tree.gobra.vpr,0,1359,28,2,1321,1368,1390,true,success,QPs=0;SCcomps=0;methods=10;postBranches=57;proverWarnings=0
Go/gobra/gobra_test_suite/regressions/examples/parallel_search_replace_shared.gobra.vpr,2,2266,34,1,2224,2266,2309,true,502.5-application.precondition:insufficient.permission;806.27-invariant.not.preserved:insufficient.permission,QPs=0;SCcomps=0;methods=25;postBranches=9;proverWarnings=0
GoC/gobra/scion_gobra_assume_injectivity/scion_DecodeAddrHdr.vpr,0,5248,22,0,5224,5242,5279,true,success,QPs=0;SCcomps=0;methods=2;postBranches=2;proverWarnings=0
GoC/gobra/scion_gobra_assume_injectivity/scion_DecodeFromBytes.vpr,1,9465,23,0,9432,9475,9488,true,4422.13-not.wellformed:permission.not.positive,QPs=0;SCcomps=0;methods=16;postBranches=13;proverWarnings=0
GoC/gobra/scion_gobra_assume_injectivity/scion_SerializeAddrHdr.vpr,0,15270,515,3,14626,15296,15889,true,success,QPs=0;SCcomps=0;methods=6;postBranches=2;proverWarnings=0
GoC/gobra/scion_gobra_assume_injectivity/scion_SerializeTo.vpr,0,75913,4565,6,71797,73663,82279,true,success,QPs=0;SCcomps=0;methods=14;postBranches=14;proverWarnings=0
GoC/gobra/scion_gobra_assume_injectivity/scion_pseudoHeaderChecksum.vpr,0,4349,18,0,4333,4340,4376,true,success,QPs=0;SCcomps=0;methods=5;postBranches=3;proverWarnings=0
GoC/gobra/scion_gobra_assume_injectivity/scion_select_NewMetrics_80c2a36d_F.vpr,0,446802,20487,4,426315,467290,467290,false,success,QPs=0;SCcomps=0;methods=3;postBranches=1;proverWarnings=0
GoC/gobra/scion_gobra_assume_injectivity/scion_select_SerializeTo_fc206c7b_SY$17800ab4_fc206c7b_.vpr,0,4230,61,1,4167,4211,4313,true,success,QPs=0;SCcomps=0;methods=12;postBranches=0;proverWarnings=0
GoC/gobra/scion_gobra_assume_injectivity/scion_select_getInterfaceState_80c2a36d_PMDataPlane.vpr,1,602479,0,0,602479,602479,602479,true,<no position>-timeout.error,QPs=0;SCcomps=0;methods=2;postBranches=3291;proverWarnings=0
